SSC_NAME16	FamilyComposition	families_with_children
Minjary	Intact family with no other children present	5
Minmi	Blended family with no other children present	8
Minmi	Intact family with no other children present	94
Minmi	Step family with no other children present	8
Minnamurra	Blended family with no other children present	3
Minnamurra	Intact family with no other children present	75
Minnamurra	Step family with no other children present	5
Minnie Water	Intact family with no other children present	15
Minore	Intact family with no other children present	16
Minto	Blended family with no other children present	65
Minto	Blended family with other children present	3
Minto	Intact family with no other children present	1614
Minto	Intact family with other children present	40
Minto	Other couple family with other children only	6
Minto	Step family with no other children present	94
Minto	Step family with other children present	5
Minto Heights	Blended family with no other children present	3
Minto Heights	Intact family with no other children present	39
Minto Heights	Intact family with other children present	3
Minto Heights	Step family with no other children present	3
Mirador	Intact family with no other children present	40
Mirador	Step family with no other children present	4
Miranda (NSW)	Blended family with no other children present	60
Miranda (NSW)	Intact family with no other children present	1716
Miranda (NSW)	Intact family with other children present	11
Miranda (NSW)	Other couple family with other children only	8
Miranda (NSW)	Step family with no other children present	96
