SSC_NAME16	NonSchoolQualification	persons
Balickera	Certificate III and IV Level	3
Balickera	Advanced Diploma and Diploma	4
Balladoran	Certificate nfd	3
Balladoran	Certificate I and II Level	3
Balladoran	Certificate III and IV Level	10
Balladoran	Advanced Diploma and Diploma	8
Balladoran	Bachelor	3
Ballalaba	Certificate III and IV Level	3
Balldale	Certificate III and IV Level	22
Balldale	Advanced Diploma and Diploma	5
Balldale	Bachelor	15
Ballengarra	Certificate III and IV Level	24
Ballengarra	Advanced Diploma and Diploma	5
Ballengarra	Bachelor	8
Ballengarra	Graduate Diploma and Graduate Certificate	3
Ballimore	Certificate I and II Level	3
Ballimore	Certificate III and IV Level	28
Ballimore	Advanced Diploma and Diploma	6
Ballimore	Bachelor	7
Ballimore	Graduate Diploma and Graduate Certificate	3
Ballimore	Postgraduate	3
Ballina	Certificate nfd	203
Ballina	Certificate I and II Level	110
Ballina	Certificate III and IV Level	1291
Ballina	Advanced Diploma and Diploma	593
Ballina	Bachelor	615
Ballina	Graduate Diploma and Graduate Certificate	78
Ballina	Postgraduate	121
Balmain	Certificate nfd	129
Balmain	Certificate I and II Level	42
Balmain	Certificate III and IV Level	546
Balmain	Advanced Diploma and Diploma	784
Balmain	Bachelor	2628
Balmain	Graduate Diploma and Graduate Certificate	351
Balmain	Postgraduate	1317
Balmain East	Certificate nfd	21
Balmain East	Certificate I and II Level	11
Balmain East	Certificate III and IV Level	89
Balmain East	Advanced Diploma and Diploma	142
Balmain East	Bachelor	516
Balmain East	Graduate Diploma and Graduate Certificate	54
Balmain East	Postgraduate	263
Balmoral (Lake Macquarie - NSW)	Certificate nfd	18
Balmoral (Lake Macquarie - NSW)	Certificate I and II Level	15
Balmoral (Lake Macquarie - NSW)	Certificate III and IV Level	167
Balmoral (Lake Macquarie - NSW)	Advanced Diploma and Diploma	66
Balmoral (Lake Macquarie - NSW)	Bachelor	71
Balmoral (Lake Macquarie - NSW)	Graduate Diploma and Graduate Certificate	8
Balmoral (Lake Macquarie - NSW)	Postgraduate	11
Balmoral (Wingecarribee - NSW)	Certificate nfd	8
Balmoral (Wingecarribee - NSW)	Certificate I and II Level	3
Balmoral (Wingecarribee - NSW)	Certificate III and IV Level	99
Balmoral (Wingecarribee - NSW)	Advanced Diploma and Diploma	22
Balmoral (Wingecarribee - NSW)	Bachelor	35
Balmoral (Wingecarribee - NSW)	Graduate Diploma and Graduate Certificate	9
Balmoral (Wingecarribee - NSW)	Postgraduate	6
Balranald	Certificate nfd	14
Balranald	Certificate I and II Level	19
Balranald	Certificate III and IV Level	153
Balranald	Advanced Diploma and Diploma	58
Balranald	Bachelor	55
Balranald	Graduate Diploma and Graduate Certificate	5
Balranald	Postgraduate	16
Bamarang	Certificate III and IV Level	3
Bandon Grove	Certificate nfd	11
Bandon Grove	Certificate III and IV Level	20
Bandon Grove	Advanced Diploma and Diploma	17
Bandon Grove	Bachelor	6
Bangadang	Certificate III and IV Level	3
Bangadang	Bachelor	3
Bangalee (NSW)	Certificate nfd	17
Bangalee (NSW)	Certificate I and II Level	5
Bangalee (NSW)	Certificate III and IV Level	118
Bangalee (NSW)	Advanced Diploma and Diploma	66
Bangalee (NSW)	Bachelor	77
Bangalee (NSW)	Graduate Diploma and Graduate Certificate	17
Bangalee (NSW)	Postgraduate	18
Bangalow	Certificate nfd	21
Bangalow	Certificate I and II Level	21
Bangalow	Certificate III and IV Level	213
Bangalow	Advanced Diploma and Diploma	186
Bangalow	Bachelor	327
Bangalow	Graduate Diploma and Graduate Certificate	37
Bangalow	Postgraduate	83
Bangheet	Certificate III and IV Level	6
Bangheet	Advanced Diploma and Diploma	5
Bangheet	Bachelor	3
Bango	Certificate III and IV Level	9
Bango	Advanced Diploma and Diploma	4
Bango	Bachelor	4
Bango	Graduate Diploma and Graduate Certificate	3
Bango	Postgraduate	10
Bangor (NSW)	Certificate nfd	141
Bangor (NSW)	Certificate I and II Level	55
Bangor (NSW)	Certificate III and IV Level	866
Bangor (NSW)	Advanced Diploma and Diploma	508
Bangor (NSW)	Bachelor	749
Bangor (NSW)	Graduate Diploma and Graduate Certificate	106
Bangor (NSW)	Postgraduate	206
Banksia	Certificate nfd	55
Banksia	Certificate I and II Level	28
Banksia	Certificate III and IV Level	323
Banksia	Advanced Diploma and Diploma	246
Banksia	Bachelor	451
Banksia	Graduate Diploma and Graduate Certificate	38
Banksia	Postgraduate	149
Banksmeadow	Certificate III and IV Level	4
Banksmeadow	Bachelor	3
Bankstown	Certificate nfd	425
Bankstown	Certificate I and II Level	234
Bankstown	Certificate III and IV Level	2208
Bankstown	Advanced Diploma and Diploma	2122
Bankstown	Bachelor	3618
Bankstown	Graduate Diploma and Graduate Certificate	198
Bankstown	Postgraduate	1200
Bannaby	Certificate nfd	3
Bannaby	Certificate III and IV Level	7
Bannaby	Advanced Diploma and Diploma	4
Bannister (NSW)	Certificate nfd	3
Bannister (NSW)	Certificate III and IV Level	24
Bannister (NSW)	Advanced Diploma and Diploma	9
Bannister (NSW)	Bachelor	14
Bannister (NSW)	Postgraduate	4
Banoon	Certificate III and IV Level	5
Banora Point	Certificate nfd	365
Banora Point	Certificate I and II Level	138
Banora Point	Certificate III and IV Level	2736
Banora Point	Advanced Diploma and Diploma	1216
Banora Point	Bachelor	1113
Banora Point	Graduate Diploma and Graduate Certificate	166
Banora Point	Postgraduate	189
Banyabba	Certificate III and IV Level	3
Bar Beach	Certificate nfd	18
Bar Beach	Certificate I and II Level	15
Bar Beach	Certificate III and IV Level	107
Bar Beach	Advanced Diploma and Diploma	86
Bar Beach	Bachelor	294
Bar Beach	Graduate Diploma and Graduate Certificate	24
Bar Beach	Postgraduate	92
Bar Point	Certificate nfd	5
Bar Point	Certificate III and IV Level	13
Bar Point	Advanced Diploma and Diploma	5
Bar Point	Bachelor	15
Bar Point	Postgraduate	3
Bara	Certificate III and IV Level	4
Bara	Advanced Diploma and Diploma	5
Bara	Bachelor	3
Baradine	Certificate nfd	12
Baradine	Certificate I and II Level	10
Baradine	Certificate III and IV Level	100
Baradine	Advanced Diploma and Diploma	29
Baradine	Bachelor	31
Baradine	Graduate Diploma and Graduate Certificate	3
Baradine	Postgraduate	6
Barangaroo	Certificate nfd	3
Barangaroo	Certificate III and IV Level	4
Barangaroo	Advanced Diploma and Diploma	5
Barangaroo	Bachelor	37
Barangaroo	Graduate Diploma and Graduate Certificate	3
Barangaroo	Postgraduate	20
Barden Ridge	Certificate nfd	119
Barden Ridge	Certificate I and II Level	39
Barden Ridge	Certificate III and IV Level	647
Barden Ridge	Advanced Diploma and Diploma	411
Barden Ridge	Bachelor	528
Barden Ridge	Graduate Diploma and Graduate Certificate	64
Barden Ridge	Postgraduate	129
Bardia	Certificate nfd	9
Bardia	Certificate I and II Level	11
Bardia	Certificate III and IV Level	161
Bardia	Advanced Diploma and Diploma	107
Bardia	Bachelor	276
Bardia	Graduate Diploma and Graduate Certificate	17
Bardia	Postgraduate	119
Bardwell Park	Certificate nfd	45
Bardwell Park	Certificate I and II Level	26
Bardwell Park	Certificate III and IV Level	212
Bardwell Park	Advanced Diploma and Diploma	236
Bardwell Park	Bachelor	338
Bardwell Park	Graduate Diploma and Graduate Certificate	39
Bardwell Park	Postgraduate	114
Bardwell Valley	Certificate nfd	46
Bardwell Valley	Certificate I and II Level	16
Bardwell Valley	Certificate III and IV Level	212
Bardwell Valley	Advanced Diploma and Diploma	212
Bardwell Valley	Bachelor	318
Bardwell Valley	Graduate Diploma and Graduate Certificate	39
Bardwell Valley	Postgraduate	90
Barellan	Certificate nfd	12
Barellan	Certificate I and II Level	4
Barellan	Certificate III and IV Level	72
Barellan	Advanced Diploma and Diploma	22
Barellan	Bachelor	18
Barellan	Graduate Diploma and Graduate Certificate	7
Bargo	Certificate nfd	103
Bargo	Certificate I and II Level	50
Bargo	Certificate III and IV Level	867
Bargo	Advanced Diploma and Diploma	312
Bargo	Bachelor	217
Bargo	Graduate Diploma and Graduate Certificate	30
Bargo	Postgraduate	49
Barham	Certificate nfd	25
Barham	Certificate I and II Level	9
Barham	Certificate III and IV Level	212
Barham	Advanced Diploma and Diploma	92
Barham	Bachelor	86
Barham	Graduate Diploma and Graduate Certificate	11
Barham	Postgraduate	10
Barigan	Advanced Diploma and Diploma	3
Barkers Vale	Certificate III and IV Level	20
Barkers Vale	Advanced Diploma and Diploma	13
Barkers Vale	Bachelor	24
Barkers Vale	Postgraduate	5
Barmedman	Certificate nfd	4
Barmedman	Certificate I and II Level	6
Barmedman	Certificate III and IV Level	53
Barmedman	Advanced Diploma and Diploma	29
Barmedman	Bachelor	22
Barmedman	Graduate Diploma and Graduate Certificate	3
Barnsley	Certificate nfd	43
Barnsley	Certificate I and II Level	31
Barnsley	Certificate III and IV Level	409
Barnsley	Advanced Diploma and Diploma	102
Barnsley	Bachelor	49
Barnsley	Graduate Diploma and Graduate Certificate	10
Barnsley	Postgraduate	13
Barooga	Certificate nfd	27
Barooga	Certificate I and II Level	14
Barooga	Certificate III and IV Level	288
Barooga	Advanced Diploma and Diploma	116
Barooga	Bachelor	121
Barooga	Graduate Diploma and Graduate Certificate	13
Barooga	Postgraduate	9
Barraba	Certificate nfd	20
Barraba	Certificate I and II Level	9
Barraba	Certificate III and IV Level	200
Barraba	Advanced Diploma and Diploma	54
Barraba	Bachelor	65
Barraba	Graduate Diploma and Graduate Certificate	11
Barraba	Postgraduate	5
Barrack Heights	Certificate nfd	115
Barrack Heights	Certificate I and II Level	73
Barrack Heights	Certificate III and IV Level	1040
Barrack Heights	Advanced Diploma and Diploma	365
Barrack Heights	Bachelor	251
Barrack Heights	Graduate Diploma and Graduate Certificate	41
Barrack Heights	Postgraduate	47
Barrack Point	Certificate nfd	10
Barrack Point	Certificate I and II Level	3
Barrack Point	Certificate III and IV Level	134
Barrack Point	Advanced Diploma and Diploma	58
Barrack Point	Bachelor	64
Barrack Point	Graduate Diploma and Graduate Certificate	9
Barrack Point	Postgraduate	15
Barraganyatti	Certificate nfd	3
Barraganyatti	Certificate III and IV Level	25
Barraganyatti	Advanced Diploma and Diploma	9
Barraganyatti	Bachelor	12
Barraganyatti	Graduate Diploma and Graduate Certificate	3
Barraganyatti	Postgraduate	4
Barragga Bay	Certificate nfd	3
Barragga Bay	Certificate III and IV Level	15
Barragga Bay	Advanced Diploma and Diploma	9
Barragga Bay	Bachelor	15
Barragga Bay	Graduate Diploma and Graduate Certificate	4
Barragga Bay	Postgraduate	5
Barrengarry	Certificate nfd	3
Barrengarry	Certificate I and II Level	3
Barrengarry	Certificate III and IV Level	23
Barrengarry	Advanced Diploma and Diploma	13
Barrengarry	Bachelor	19
Barrengarry	Graduate Diploma and Graduate Certificate	5
Barrengarry	Postgraduate	5
Barretts Creek	Certificate III and IV Level	3
Barringella	Certificate III and IV Level	6
Barringella	Advanced Diploma and Diploma	6
Barrington (NSW)	Certificate nfd	8
Barrington (NSW)	Certificate III and IV Level	63
Barrington (NSW)	Advanced Diploma and Diploma	22
Barrington (NSW)	Bachelor	37
Barrington (NSW)	Graduate Diploma and Graduate Certificate	11
Barry (Blayney - NSW)	Certificate nfd	3
Barry (Blayney - NSW)	Certificate III and IV Level	31
Barry (Blayney - NSW)	Advanced Diploma and Diploma	11
Barry (Blayney - NSW)	Bachelor	10
Barry (Blayney - NSW)	Graduate Diploma and Graduate Certificate	6
Barwang	Certificate III and IV Level	10
Barwang	Advanced Diploma and Diploma	16
Barwang	Bachelor	10
Barwon	Certificate III and IV Level	3
Barwon	Bachelor	3
Baryulgil	Certificate nfd	3
Baryulgil	Certificate III and IV Level	3
Baryulgil	Bachelor	3
Basin View	Certificate nfd	37
Basin View	Certificate I and II Level	15
Basin View	Certificate III and IV Level	297
Basin View	Advanced Diploma and Diploma	113
Basin View	Bachelor	77
Basin View	Graduate Diploma and Graduate Certificate	11
Basin View	Postgraduate	14
Bass Hill	Certificate nfd	170
Bass Hill	Certificate I and II Level	67
Bass Hill	Certificate III and IV Level	939
Bass Hill	Advanced Diploma and Diploma	585
Bass Hill	Bachelor	674
Bass Hill	Graduate Diploma and Graduate Certificate	56
Bass Hill	Postgraduate	177
Batar Creek	Certificate III and IV Level	12
Batar Creek	Advanced Diploma and Diploma	7
Batar Creek	Bachelor	16
Batar Creek	Postgraduate	3
Bateau Bay	Certificate nfd	274
Bateau Bay	Certificate I and II Level	123
Bateau Bay	Certificate III and IV Level	2020
Bateau Bay	Advanced Diploma and Diploma	864
Bateau Bay	Bachelor	1023
Bateau Bay	Graduate Diploma and Graduate Certificate	114
Bateau Bay	Postgraduate	189
Batehaven	Certificate nfd	43
Batehaven	Certificate I and II Level	19
Batehaven	Certificate III and IV Level	293
Batehaven	Advanced Diploma and Diploma	108
Batehaven	Bachelor	113
Batehaven	Graduate Diploma and Graduate Certificate	17
Batehaven	Postgraduate	23
Batemans Bay	Certificate nfd	36
Batemans Bay	Certificate I and II Level	25
Batemans Bay	Certificate III and IV Level	208
Batemans Bay	Advanced Diploma and Diploma	71
Batemans Bay	Bachelor	54
Batemans Bay	Graduate Diploma and Graduate Certificate	16
Batemans Bay	Postgraduate	7
Bathampton	Certificate III and IV Level	4
Bathampton	Advanced Diploma and Diploma	3
Bathampton	Bachelor	4
Bathampton	Postgraduate	3
Bathurst	Certificate nfd	130
Bathurst	Certificate I and II Level	77
Bathurst	Certificate III and IV Level	951
Bathurst	Advanced Diploma and Diploma	464
Bathurst	Bachelor	859
Bathurst	Graduate Diploma and Graduate Certificate	123
Bathurst	Postgraduate	261
Batlow	Certificate nfd	17
Batlow	Certificate I and II Level	13
Batlow	Certificate III and IV Level	195
Batlow	Advanced Diploma and Diploma	80
Batlow	Bachelor	90
Batlow	Graduate Diploma and Graduate Certificate	10
Batlow	Postgraduate	7
Baulkham Hills	Certificate nfd	736
Baulkham Hills	Certificate I and II Level	236
Baulkham Hills	Certificate III and IV Level	3594
Baulkham Hills	Advanced Diploma and Diploma	3263
Baulkham Hills	Bachelor	6488
Baulkham Hills	Graduate Diploma and Graduate Certificate	648
Baulkham Hills	Postgraduate	2902
Baw Baw (NSW)	Certificate III and IV Level	53
Baw Baw (NSW)	Advanced Diploma and Diploma	21
Baw Baw (NSW)	Bachelor	27
Baw Baw (NSW)	Graduate Diploma and Graduate Certificate	3
Baw Baw (NSW)	Postgraduate	7
Bawley Point	Certificate nfd	19
Bawley Point	Certificate I and II Level	12
Bawley Point	Certificate III and IV Level	140
Bawley Point	Advanced Diploma and Diploma	57
Bawley Point	Bachelor	79
Bawley Point	Graduate Diploma and Graduate Certificate	21
Bawley Point	Postgraduate	24
Bayview (NSW)	Certificate nfd	98
Bayview (NSW)	Certificate I and II Level	18
Bayview (NSW)	Certificate III and IV Level	338
Bayview (NSW)	Advanced Diploma and Diploma	384
Bayview (NSW)	Bachelor	589
Bayview (NSW)	Graduate Diploma and Graduate Certificate	48
Bayview (NSW)	Postgraduate	192
Beacon Hill	Certificate nfd	176
Beacon Hill	Certificate I and II Level	72
Beacon Hill	Certificate III and IV Level	855
Beacon Hill	Advanced Diploma and Diploma	670
Beacon Hill	Bachelor	1161
Beacon Hill	Graduate Diploma and Graduate Certificate	120
Beacon Hill	Postgraduate	336
Beaconsfield (NSW)	Certificate nfd	13
Beaconsfield (NSW)	Certificate I and II Level	9
Beaconsfield (NSW)	Certificate III and IV Level	73
Beaconsfield (NSW)	Advanced Diploma and Diploma	93
Beaconsfield (NSW)	Bachelor	250
Beaconsfield (NSW)	Graduate Diploma and Graduate Certificate	30
Beaconsfield (NSW)	Postgraduate	85
Bean Creek	Certificate III and IV Level	6
Bean Creek	Advanced Diploma and Diploma	3
Bean Creek	Bachelor	13
Bearbong	Certificate I and II Level	3
Bearbong	Certificate III and IV Level	11
Bearbong	Advanced Diploma and Diploma	7
Bearbong	Bachelor	5
Beaumont (NSW)	Certificate nfd	5
Beaumont (NSW)	Certificate III and IV Level	8
Beaumont (NSW)	Advanced Diploma and Diploma	17
Beaumont (NSW)	Bachelor	24
Beaumont (NSW)	Graduate Diploma and Graduate Certificate	5
Beaumont (NSW)	Postgraduate	4
Beaumont Hills	Certificate nfd	145
Beaumont Hills	Certificate I and II Level	54
Beaumont Hills	Certificate III and IV Level	789
Beaumont Hills	Advanced Diploma and Diploma	796
Beaumont Hills	Bachelor	1585
Beaumont Hills	Graduate Diploma and Graduate Certificate	139
Beaumont Hills	Postgraduate	511
Beckom	Certificate nfd	3
Beckom	Certificate III and IV Level	11
Beckom	Advanced Diploma and Diploma	8
Beckom	Bachelor	8
Beckom	Graduate Diploma and Graduate Certificate	3
Bective	Certificate nfd	3
Bective	Certificate I and II Level	3
Bective	Certificate III and IV Level	41
Bective	Advanced Diploma and Diploma	14
Bective	Bachelor	19
Bective	Graduate Diploma and Graduate Certificate	4
Bectric	Certificate III and IV Level	7
Bectric	Advanced Diploma and Diploma	3
Bectric	Bachelor	3
Bedgerabong	Certificate nfd	3
Bedgerabong	Certificate I and II Level	4
Bedgerabong	Certificate III and IV Level	21
Bedgerabong	Advanced Diploma and Diploma	8
Bedgerabong	Bachelor	11
Bedgerabong	Postgraduate	4
Beechwood	Certificate nfd	10
Beechwood	Certificate I and II Level	11
Beechwood	Certificate III and IV Level	108
Beechwood	Advanced Diploma and Diploma	34
Beechwood	Bachelor	41
Beechwood	Graduate Diploma and Graduate Certificate	6
Beecroft	Certificate nfd	162
Beecroft	Certificate I and II Level	45
Beecroft	Certificate III and IV Level	499
Beecroft	Advanced Diploma and Diploma	731
Beecroft	Bachelor	2150
Beecroft	Graduate Diploma and Graduate Certificate	238
Beecroft	Postgraduate	1090
Beelbangera	Certificate nfd	5
Beelbangera	Certificate I and II Level	5
Beelbangera	Certificate III and IV Level	84
Beelbangera	Advanced Diploma and Diploma	17
Beelbangera	Bachelor	20
Beelbangera	Postgraduate	3
Bega	Certificate nfd	60
Bega	Certificate I and II Level	76
Bega	Certificate III and IV Level	711
Bega	Advanced Diploma and Diploma	259
Bega	Bachelor	300
Bega	Graduate Diploma and Graduate Certificate	45
Bega	Postgraduate	57
Beggan Beggan	Certificate nfd	4
Beggan Beggan	Certificate I and II Level	5
Beggan Beggan	Certificate III and IV Level	11
Beggan Beggan	Advanced Diploma and Diploma	9
Beggan Beggan	Bachelor	11
Belanglo	Bachelor	3
Belbora	Certificate III and IV Level	21
Belbora	Advanced Diploma and Diploma	12
Belbora	Bachelor	10
Belbora	Postgraduate	3
Belfield	Certificate nfd	105
Belfield	Certificate I and II Level	45
Belfield	Certificate III and IV Level	613
Belfield	Advanced Diploma and Diploma	485
Belfield	Bachelor	761
Belfield	Graduate Diploma and Graduate Certificate	63
Belfield	Postgraduate	192
Belford	Certificate nfd	3
Belford	Certificate I and II Level	4
Belford	Certificate III and IV Level	40
Belford	Advanced Diploma and Diploma	13
Belford	Bachelor	13
Belford	Postgraduate	3
Belfrayden	Certificate III and IV Level	3
Belfrayden	Advanced Diploma and Diploma	3
Belgravia	Certificate I and II Level	3
Belgravia	Certificate III and IV Level	25
Belgravia	Advanced Diploma and Diploma	10
Belgravia	Bachelor	18
Belgravia	Graduate Diploma and Graduate Certificate	3
Belgravia	Postgraduate	3
Belimbla Park	Certificate nfd	18
