SSC_NAME16	Sex	employmentToPopulation
Alberton (SA)	M	57.8
Aldgate	F	57.2
Aldgate	M	62.6
Aldinga	F	48.9
Aldinga	M	63.6
Aldinga Beach	F	49.4
Aldinga Beach	M	56.4
Alford	F	57.1
Alford	M	47.6
Allenby Gardens	F	58.8
Allenby Gardens	M	65.6
Allendale East	F	53.4
Allendale East	M	60.7
Allendale North	F	75
Allendale North	M	61
Alma (SA)	F	84.6
Alma (SA)	M	64
Altona (SA)	F	47.2
Altona (SA)	M	46.7
Amata	F	29.3
Amata	M	23.6
American River	F	33
American River	M	32
Anama	F	133.3
Anama	M	66.7
Anangu Pitjantjatjara Yankunytjatjara	F	31
Anangu Pitjantjatjara Yankunytjatjara	M	37.6
Andamooka	F	44.7
Andamooka	M	41.4
Andamooka Station	M	60
Andrews	F	81.8
Andrews	M	100
Andrews Farm	F	52.6
Andrews Farm	M	64.7
Angas Plains	F	50
Angas Plains	M	100
Angas Valley	F	45.5
Angas Valley	M	29.4
Angaston	F	52.5
Angaston	M	64.2
Angle Park	F	37.2
Angle Park	M	48.2
Angle Vale	F	61.7
Angle Vale	M	70.6
Annadale	M	52.6
Apamurra	F	100
Apamurra	M	50
Apoinga	F	80
Apoinga	M	62.5
Appila	F	46.4
Appila	M	36.6
Arcoona	M	54.5
Ardrossan	F	31.9
Ardrossan	M	36.7
Arkaroola Village	F	42.9
Arkaroola Village	M	100
Armagh	F	67.4
Armagh	M	72.2
Arno Bay	F	51.2
Arno Bay	M	58.3
Arthurton	F	61.7
Arthurton	M	65
Ascot Park	F	54.7
Ascot Park	M	61.1
Ashbourne (SA)	F	66.7
Ashbourne (SA)	M	63.7
Ashford (SA)	F	48.7
Ashford (SA)	M	59.9
Ashton	F	64.4
Ashton	M	60.7
Ashville	F	69.2
Ashville	M	42.1
Athelstone	F	59
Athelstone	M	64.8
Athol Park	F	45.1
Athol Park	M	57.4
Auburn (SA)	F	52.2
Auburn (SA)	M	55.5
Auldana	F	52.6
Auldana	M	62.9
Australia Plains	F	100
Australia Plains	M	56.3
Avenue Range	F	67.4
Avenue Range	M	83.7
Avoca Dell	F	63.5
Avoca Dell	M	54.7
Avon (SA)	F	70
Avon (SA)	M	47.8
Back Valley	F	61.4
Back Valley	M	68.8
Bagot Well	F	78.6
Bagot Well	M	91.9
Bakara	M	100
Balaklava	F	42.4
Balaklava	M	55.8
Bald Hills (SA)	F	42.9
Bald Hills (SA)	M	35.7
Baldina	M	100
Balgowan (SA)	F	26.7
Balgowan (SA)	M	42.1
Balhannah	F	58.5
Balhannah	M	64.8
Bangham	F	76.2
Bangham	M	80.6
Bangor (SA)	F	42.1
Bangor (SA)	M	72.2
Banksia Park	F	56.8
Banksia Park	M	59.2
Barabba	F	64.4
Barabba	M	67.9
Barinia	F	72.7
Barinia	M	137.5
Barmera	F	40.9
Barmera	M	47.2
Barndioota	M	100
Baroota	F	33.3
Baroota	M	91.3
Barossa Goldfields	F	65.2
Barossa Goldfields	M	51.9
Barunga Gap	F	27.3
Barunga Gap	M	33.3
Basket Range	F	70.3
Basket Range	M	74.2
Baudin Beach	F	48
Baudin Beach	M	32.1
Bay Of Shoals	F	73.3
Bay Of Shoals	M	70
Beachport	F	49.5
Beachport	M	51.3
Beatty	F	100
Beatty	M	100
Beaufort (SA)	F	38.5
Beaufort (SA)	M	66.7
Beaumont (SA)	F	55.2
Beaumont (SA)	M	60.2
Bedford Park	F	35.2
Bedford Park	M	43.2
Beetaloo Valley	F	57.1
Beetaloo Valley	M	62.5
Belair	F	55.2
Belair	M	61
Belalie East	F	68.4
Belalie East	M	77.3
Belalie North	F	48.3
Belalie North	M	71.9
Bellevue Heights	F	45.8
Bellevue Heights	M	50.5
Beltana	M	27.3
Belton	M	75
Belvidere	F	81.6
Belvidere	M	69.2
Benbournie	M	100
Berri	F	43.5
Berri	M	47.4
Bethany	F	75
Bethany	M	62.3
Bethel	F	88.2
Bethel	M	63
Beulah Park	F	60.7
Beulah Park	M	68.2
Beverley (SA)	F	57.3
Beverley (SA)	M	63.1
Bibaringa	F	56.5
Bibaringa	M	61.3
Biggs Flat	F	58.5
Biggs Flat	M	87.1
Binnum	F	93.1
Binnum	M	64.1
Birchmore	F	100
Birchmore	M	73.3
Birdwood (SA)	F	60.7
Birdwood (SA)	M	62.3
Birkenhead	F	63.1
Birkenhead	M	65.3
Black Forest	F	58.7
Black Forest	M	64.4
Black Hill (SA)	F	20
Black Hill (SA)	M	35
Black Point	F	26.1
Black Point	M	47.6
Black Rock (SA)	F	42.9
Black Rock (SA)	M	64.7
Black Springs (SA)	F	57.1
Black Springs (SA)	M	72.7
Blackfellows Caves	F	25.9
Blackfellows Caves	M	37.2
Blackfellows Creek	F	25
Blackfellows Creek	M	71.4
Blackford	F	100
Blackford	M	63.2
Blackwood (SA)	F	56.4
Blackwood (SA)	M	61.2
Blair Athol (SA)	F	42.5
Blair Athol (SA)	M	47.9
Blakeview	F	56.9
Blakeview	M	69.3
Blakiston	F	64.5
Blakiston	M	64.5
Blanche Harbor	M	25
Blanchetown	F	25
Blanchetown	M	43.7
Bletchley	F	58.6
Bletchley	M	56.3
Blewitt Springs	F	55.6
Blewitt Springs	M	57.9
Blinman	F	80
Blinman	M	66.7
Bluff Beach	F	47.6
Bluff Beach	M	64.3
Blyth	F	61.3
Blyth	M	67.5
Boatswain Point	F	50
Boatswain Point	M	37.5
Boconnoc Park	F	200
Boconnoc Park	M	100
Bolivar	F	23.8
Bolivar	M	38.9
Bollards Lagoon	M	50
Bon Bon	F	100
Bon Bon	M	100
Booborowie	F	34.4
Booborowie	M	58.4
Bookpurnong	F	56
Bookpurnong	M	70.5
Bool Lagoon	F	64.3
Bool Lagoon	M	85.7
Booleroo Centre	F	49.3
Booleroo Centre	M	63.9
Boonerdo	F	100
Boonerdo	M	66.7
Boors Plain	F	56.5
Boors Plain	M	63.3
Bordertown	F	53.3
Bordertown	M	64.4
Bordertown South	F	81.3
Bordertown South	M	64.7
Borrika	F	50
Borrika	M	47.1
Boston	F	69.9
Boston	M	69.9
Bowden	F	58.3
Bowden	M	57.7
Bower	F	16.7
Bower	M	41.2
Bowhill	F	44
Bowhill	M	47.8
Bowillia	F	72.7
Bowillia	M	37.5
Bowmans	F	42.1
Bowmans	M	40
Bradbury (SA)	F	60.7
Bradbury (SA)	M	59.3
Brady Creek	M	133.3
Brahma Lodge	F	38.4
Brahma Lodge	M	45.9
Bramfield	F	50
Bramfield	M	38.5
Bray	F	45
Bray	M	100
Brentwood (SA)	F	64.3
Brentwood (SA)	M	60
Bridgewater (SA)	F	64.9
Bridgewater (SA)	M	70.9
Bright (SA)	M	18.8
Brighton (SA)	F	50.1
Brighton (SA)	M	58.4
Brimbago	F	57.9
Brimbago	M	80.8
Brinkley	F	38.7
Brinkley	M	72.7
Brinkworth	F	43.5
Brinkworth	M	56.5
Broadview	F	58.7
Broadview	M	63
Brompton	F	54
Brompton	M	56.7
Brooker	F	53.1
Brooker	M	64.7
Brooklyn Park	F	52.3
Brooklyn Park	M	59.6
Broughton River Valley	M	100
Brown Hill Creek	F	48
Brown Hill Creek	M	66.7
Brownlow	F	33.3
Brownlow	M	19
Brownlow Ki	F	57.3
Brownlow Ki	M	48.1
Brukunga	F	55.6
Brukunga	M	58.6
Buchanan (SA)	F	54.5
Buchanan (SA)	M	44.4
Buchfelde	F	30.1
Buchfelde	M	51.7
Buckingham (SA)	F	81.8
Buckingham (SA)	M	82.4
Buckland Park	F	57.8
Buckland Park	M	59.5
Buckleboo	F	40
Buckleboo	M	73.7
Bugle Hut	F	109.1
Bugle Hut	M	61.1
Bugle Ranges	F	63.4
Bugle Ranges	M	62.4
Bull Creek (SA)	F	47.8
Bull Creek (SA)	M	57.7
Bumbunga	F	33.3
Bumbunga	M	54.5
Bundaleer Gardens	M	80
Bundaleer North	F	50
Bundaleer North	M	68.4
Bungama	F	40
Bungama	M	58.7
Bungaree (SA)	M	100
Burdett	F	52.6
Burdett	M	52.6
Burnside (SA)	F	50.8
Burnside (SA)	M	60.2
Burra (SA)	F	41
Burra (SA)	M	51.1
Burrungule	F	45.5
Burrungule	M	73.3
Burton (SA)	F	52.1
Burton (SA)	M	63.5
Bute	F	34.4
Bute	M	46.1
Butler (SA)	F	77.8
Butler (SA)	M	80
Cadell	F	46.8
Cadell	M	21.7
Cadgee (SA)	F	60
Cadgee (SA)	M	116.7
Calca	M	100
Caliph	M	100
Callington	F	59.2
Callington	M	55.3
Calomba	F	52.9
Calomba	M	50
Caloote	F	55.6
Caloote	M	63.5
Caltowie	F	32.7
Caltowie	M	62
Caltowie North	F	57.1
Caltowie North	M	150
Caltowie West	F	66.7
Caltowie West	M	107.1
Cambrai	F	44
Cambrai	M	47.3
Camden Park (SA)	F	56.1
Camden Park (SA)	M	62.1
Campbelltown (SA)	F	43.8
Campbelltown (SA)	M	53.5
Campoona	F	71.4
Campoona	M	84.2
Cannawigara	F	69
Cannawigara	M	70.3
Canowie	M	100
Canowie Belt	F	80
Canowie Belt	M	50
Canunda	F	70
Canunda	M	50
Cape Borda	F	50
Cape Borda	M	50
Cape Douglas	F	60
Cape Douglas	M	57.7
Cape Jaffa	F	66.7
Cape Jaffa	M	57.7
Cape Jervis	F	38.7
Cape Jervis	M	33.3
Caralue	F	142.9
Caralue	M	63.6
Carcuma	M	100
Carew	F	128.6
Carew	M	92.9
Carey Gully	F	54.4
Carey Gully	M	60.5
Caroline	F	40
Caroline	M	77.8
Carpenter Rocks	F	46.9
Carpenter Rocks	M	35.9
Carrickalinga	F	39.1
Carrickalinga	M	46.3
Carrieton	F	48
Carrieton	M	40
Cassini	F	54.8
Cassini	M	65.8
Castambul	F	54.5
Castambul	M	45.5
Caurnamont	F	27.3
Caurnamont	M	81
Cavan (SA)	F	120
Cavan (SA)	M	38.5
Cavenagh	M	100
Caveton	F	105.9
Caveton	M	54.8
Ceduna	F	52.3
Ceduna	M	56.9
Ceduna Waters	F	75
Ceduna Waters	M	87.2
Chaffey	F	60.8
Chaffey	M	70.5
Chain Of Ponds	F	63.6
Chain Of Ponds	M	66.7
Chandada	F	83.3
Chandada	M	100
Chandlers Hill	F	62.9
Chandlers Hill	M	67.5
Chapel Hill (SA)	F	63.3
Chapel Hill (SA)	M	62.5
Chapman Bore	F	46.2
Chapman Bore	M	40
Charleston	F	65.7
Charleston	M	71.2
Charlton Gully	F	100
Charlton Gully	M	42.9
Charra	F	166.7
Charra	M	90
Cheltenham (SA)	F	55
Cheltenham (SA)	M	58.4
Cherry Gardens	F	60.2
Cherry Gardens	M	67.8
Cherryville	F	50
Cherryville	M	53.4
Chilpenunda	F	100
Chilpenunda	M	114.3
Chinbingina	M	75
Christie Downs	F	32.5
Christie Downs	M	40.2
Christies Beach	F	42.7
Christies Beach	M	48.5
Clapham	F	60.1
Clapham	M	65
Clare (SA)	F	51.8
Clare (SA)	M	61.1
Clarence Gardens	F	63.5
Clarence Gardens	M	68.4
Clarence Park	F	59.6
Clarence Park	M	66.6
Clarendon (SA)	F	63.8
Clarendon (SA)	M	67.8
Clay Wells	F	33.3
Clay Wells	M	90.9
Claypans	M	133.3
Clayton Bay	F	33.8
Clayton Bay	M	36.6
Clearview	F	47.6
Clearview	M	58.9
Clements Gap	F	82.6
Clements Gap	M	113.3
Cleve	F	49.6
Cleve	M	59.4
Clifton Hills Station	F	100
Clifton Hills Station	M	61.5
Clinton (SA)	F	24.4
Clinton (SA)	M	27.6
Clinton Centre	F	80
Clinton Centre	M	90.9
Clovelly Park	F	50.7
Clovelly Park	M	58.7
Cobdogla	F	56.9
Cobdogla	M	59.2
Cockaleechie	F	68.8
Cockaleechie	M	88.5
Cockatoo Valley	F	63.5
Cockatoo Valley	M	67.7
Cockburn	F	27.3
Cockburn	M	88.9
Coffin Bay	F	46.3
Coffin Bay	M	42.3
Colebatch	F	100
Colebatch	M	69
Coles	F	62.5
Coles	M	71.4
College Park	F	56.5
College Park	M	61.4
Colley	F	61.5
Colley	M	88.9
Collinsfield	F	133.3
Collinsfield	M	100
Collinswood	F	58.9
Collinswood	M	66.7
Colonel Light Gardens	F	67.6
Colonel Light Gardens	M	69
Colton	F	81.8
Colton	M	87.5
Comaum	F	70
Comaum	M	61.5
Commissariat Point	F	55.4
Commissariat Point	M	36.8
Compton	F	66
Compton	M	75.6
Concordia	F	37.5
Concordia	M	62.8
Condowie	F	43.5
Condowie	M	69.6
Conmurra	F	130.8
Conmurra	M	82.4
Coober Pedy	F	46.3
Coober Pedy	M	40.7
Coobowie	F	47.9
Coobowie	M	36.2
Cooke Plains	F	40
Cooke Plains	M	53.6
Cooltong	F	60.3
Cooltong	M	67.2
Coomandook	F	53.3
Coomandook	M	65.9
Coombe	F	44
Coombe	M	88.9
Coomooroo	F	75
Coomooroo	M	50
Coomunga	F	75.6
Coomunga	M	66.7
Coonalpyn	F	51.5
Coonalpyn	M	63.8
Coonamia	F	46.5
Coonamia	M	55.3
Coonawarra (SA)	F	72.4
Coonawarra (SA)	M	83.3
Coorong	F	57.1
Coorong	M	41.9
Cootra	F	266.7
Cootra	M	60
Copeville	F	80
Copeville	M	80
Copley (SA)	F	11.1
Copley (SA)	M	37.5
Corny Point	F	37.5
Corny Point	M	37.7
Coromandel East	F	53.4
Coromandel East	M	60.5
Coromandel Valley	F	65.1
Coromandel Valley	M	67.6
Cortlinye	F	88.9
Cortlinye	M	73.9
Corunna Station	F	54.5
Corunna Station	M	160
Coulta	F	56.9
Coulta	M	57.1
Cowandilla	F	44.2
Cowandilla	M	50.8
Cowell	F	45.1
Cowell	M	53.1
Cowirra	F	31.6
Cowirra	M	32.8
Cradock	F	57.1
Cradock	M	55.6
Crafers	F	62
Crafers	M	66.5
Crafers West	F	64.6
Crafers West	M	66.4
Craigburn Farm	F	64.9
Craigburn Farm	M	71.1
Craigmore	F	52.9
Craigmore	M	62.8
Crescent	F	57.3
Crescent	M	69.9
Cromer (SA)	F	56
Cromer (SA)	M	67.1
Cross Roads (SA)	F	27.1
Cross Roads (SA)	M	23.7
Croydon (SA)	F	53.5
Croydon (SA)	M	61.1
Croydon Park (SA)	F	41.2
Croydon Park (SA)	M	49
Crystal Brook (SA)	F	45.3
Crystal Brook (SA)	M	49.8
Cudlee Creek	F	66.5
Cudlee Creek	M	72.5
Culburra	F	64.3
Culburra	M	87.1
Cumberland Park	F	62.6
Cumberland Park	M	67.6
Cummins	F	56.8
Cummins	M	66.7
Cungena	F	87.5
Cungena	M	53.8
Cunliffe	F	85.7
Cunliffe	M	100
Cunningham (SA)	F	60.9
Cunningham (SA)	M	55.6
Cunyarie	M	133.3
Curramulka	F	52.6
Curramulka	M	64.1
Currency Creek	F	66.5
Currency Creek	M	57.2
Custon	F	42.9
Custon	M	75
Cygnet River	F	50
Cygnet River	M	68.8
Dalkey	M	100
Darke Peak	F	79.2
Darke Peak	M	73.7
Darlington (SA)	F	52.7
Darlington (SA)	M	60.5
Davenport (SA)	F	3.9
Davenport (SA)	M	5.4
Daveyston	F	50
Daveyston	M	80.6
Davoren Park	F	25.9
Davoren Park	M	35
Daw Park	F	52.8
Daw Park	M	62.4
Dawesley	F	64.3
Dawesley	M	74.3
Dawson (SA)	M	100
De Mole River	M	36.4
Deep Creek (SA)	F	40
Deep Creek (SA)	M	72.7
Deepwater (SA)	F	100
Deepwater (SA)	M	30
Delamere (SA)	F	64.1
Delamere (SA)	M	59
Denial Bay	F	52.9
Denial Bay	M	47.9
Dernancourt	F	54.2
Dernancourt	M	59
Devlins Pound	F	60
Devlins Pound	M	75
Devon Park (SA)	F	51.4
Devon Park (SA)	M	60.1
Dingabledinga	F	57.1
Dingabledinga	M	69
Direk	F	64.1
Direk	M	72.6
Dismal Swamp	F	80
Dismal Swamp	M	66.7
Donovans	F	35.3
Donovans	M	44.2
Dover Gardens	F	49.3
Dover Gardens	M	54.8
Dowlingville	F	80
Dowlingville	M	90
Dry Creek (SA)	F	35.7
Dry Creek (SA)	M	50.9
Dublin	F	46
Dublin	M	49.7
Duck Ponds	F	66.7
Duck Ponds	M	8.6
Dudley East	F	68.4
Dudley East	M	65.5
Dudley Park (SA)	F	34.3
Dudley Park (SA)	M	43.7
Dudley West	F	37.5
Dudley West	M	60
Dulwich	F	60.8
Dulwich	M	65.7
Duncan	F	69.6
Duncan	M	69.4
Dutton	F	54.3
Dutton	M	75
Dutton East	F	27.3
Dutton East	M	33.3
East Moonta	F	42.4
East Moonta	M	56.9
Eastwood (SA)	F	57.3
Eastwood (SA)	M	61.6
Eba	F	57.1
Eba	M	33.3
Eba Anchorage	F	18.8
Eba Anchorage	M	35.7
Ebenezer (SA)	F	49.2
Ebenezer (SA)	M	71.4
Echunga	F	61.5
Echunga	M	70.5
Eden Hills	F	57.3
Eden Hills	M	60.3
Eden Valley	F	56.5
Eden Valley	M	68.9
Edillilie	F	50.9
Edillilie	M	85.7
Edinburgh	F	81.8
Edinburgh	M	88.3
Edithburgh	F	29.2
Edithburgh	M	29.6
Edwardstown	F	51
Edwardstown	M	54.4
Eight Mile Creek (SA)	F	49.2
Eight Mile Creek (SA)	M	61.2
Elizabeth	F	30.8
Elizabeth	M	39.1
Elizabeth Downs	F	31.5
Elizabeth Downs	M	40
Elizabeth East	F	27.6
Elizabeth East	M	37.9
Elizabeth Grove	F	23.7
Elizabeth Grove	M	35.8
Elizabeth North	F	27.3
Elizabeth North	M	35.4
Elizabeth Park	F	29.6
Elizabeth Park	M	37.7
Elizabeth South	F	20.5
Elizabeth South	M	32.9
Elizabeth Vale	F	23.6
Elizabeth Vale	M	36.6
Elliston	F	48.6
Elliston	M	54.7
Elwomple	F	47.2
Elwomple	M	62.9
Emu Bay	F	52.9
Emu Bay	M	50
Emu Downs	F	60
Emu Downs	M	47.6
Emu Flat (SA)	F	33.3
Emu Flat (SA)	M	47.1
Encounter Bay	F	26.8
Encounter Bay	M	29.3
Enfield (SA)	F	45.5
Enfield (SA)	M	56.7
Erindale	F	56.2
Erindale	M	62.5
Erith	F	27.3
Erith	M	73.9
Ethelton	F	56.7
Ethelton	M	62.3
Ettrick (SA)	F	48
Ettrick (SA)	M	41.4
Eudunda	F	39.5
Eudunda	M	54.7
Eurelia	F	30
Eurelia	M	60
Evandale (SA)	F	61.2
Evandale (SA)	M	65.9
Evanston	F	42.7
Evanston	M	49.9
Evanston Gardens	F	56.2
Evanston Gardens	M	65.7
Evanston Park	F	53.9
Evanston Park	M	60.6
Evanston South	F	55.1
Evanston South	M	52.3
Everard Central	F	25
Everard Central	M	84.6
Everard Park	F	50.3
Everard Park	M	55.9
Exeter (SA)	F	59
Exeter (SA)	M	60.7
Fairview Park	F	58.1
Fairview Park	M	62.9
Faraway Hill	M	100
Farina	F	72.7
Farina	M	85
Farrell Flat	F	54.4
Farrell Flat	M	71.6
Felixstow	F	40.9
Felixstow	M	46.3
Ferryden Park	F	44
Ferryden Park	M	51.8
Field	F	77.4
Field	M	86.7
Findon	F	48.1
Findon	M	57.2
Finniss	F	56.4
Finniss	M	64.8
Firle	F	51.3
Firle	M	59.8
Fischer	F	70
Fischer	M	64.7
Fisher (SA)	F	46.7
Fisher (SA)	M	29.7
Fisherman Bay	F	14.3
Fisherman Bay	M	17.3
Fitzroy (SA)	F	55.5
Fitzroy (SA)	M	66.5
Flagstaff Hill	F	60
Flagstaff Hill	M	64.5
Flaxley	F	50.7
Flaxley	M	76.1
Flaxman Valley	F	54.4
Flaxman Valley	M	73.3
Flinders Park	F	54.3
Flinders Park	M	62.2
Flinders Ranges	F	45.7
Flinders Ranges	M	53.8
Florina Station	F	100
Florina Station	M	100
Fords	F	64
Fords	M	62.9
Forest Range	F	54.8
Forest Range	M	66.3
Forestville (SA)	F	61.7
Forestville (SA)	M	66.1
Forreston	F	60.4
Forreston	M	64.9
Foul Bay	F	43.8
Foul Bay	M	42.3
Fountain	F	100
Fountain	M	42.9
Fowlers Bay	F	42.9
Fowlers Bay	M	30.4
Fox	F	71.4
Fox	M	121.4
Frances	F	84
Frances	M	71.8
Franklyn	M	100
Frankton	M	44.4
Freeling	F	56.7
Freeling	M	67.5
Frewville	F	61.8
Frewville	M	63.7
Fulham (SA)	F	48.6
Fulham (SA)	M	57.3
Fulham Gardens	F	52
Fulham Gardens	M	58.4
Fullarton	F	46.2
Fullarton	M	55.1
Furner	F	53.3
Furner	M	62.5
Galga	M	83.3
Gammon Ranges	F	66.7
Gammon Ranges	M	200
Gawler (SA)	F	33.4
Gawler (SA)	M	42.9
Gawler Belt	F	63.7
Gawler Belt	M	66.5
Gawler East	F	51.1
Gawler East	M	55.6
Gawler River	F	65.1
Gawler River	M	73.9
Gawler South	F	49
Gawler South	M	53.6
Gawler West	F	41.2
Gawler West	M	40.6
Gemmells	F	70.3
Gemmells	M	85.3
Georgetown (SA)	F	47
Georgetown (SA)	M	48
Gepps Cross	F	39.3
Gepps Cross	M	45.7
Geranium	F	54.5
Geranium	M	41.3
Geranium Plains	M	100
Gerard	F	17.6
Gerard	M	22.2
German Creek	F	100
German Creek	M	88.9
German Flat	M	100
Gidgealpa	F	38.9
Gidgealpa	M	80.5
Gifford Hill	F	82.4
Gifford Hill	M	57.1
Gilberton (SA)	F	56.7
Gilberton (SA)	M	53.8
Giles Corner	F	40
Giles Corner	M	116.7
Gillentown	F	92.1
Gillentown	M	75
Gilles Plains	F	45.9
Gilles Plains	M	52.2
Gillman	F	59.5
Gillman	M	33.3
Gladstone (SA)	F	40.2
Gladstone (SA)	M	47.4
Glandore	F	58.7
Glandore	M	62.2
Glanville	F	47.8
Glanville	M	51.9
Glen Osmond	F	46.3
Glen Osmond	M	56.5
Glenalta	F	57.1
Glenalta	M	62.7
Glenburnie	F	63.3
Glenburnie	M	69.1
Glencoe (SA)	F	57
Glencoe (SA)	M	62.7
Glenelg (SA)	F	43.8
Glenelg (SA)	M	50.8
Glenelg East	F	61.2
Glenelg East	M	66
Glenelg North	F	58
Glenelg North	M	63.7
Glenelg South	F	51
Glenelg South	M	59.3
Glengowrie	F	55.5
Glengowrie	M	62.1
Glenroy (SA)	F	77.4
Glenroy (SA)	M	63.9
Glenside	F	36.7
Glenside	M	48.5
Glenunga	F	47.9
Glenunga	M	58.8
Globe Derby Park	F	45.1
Globe Derby Park	M	42.8
Glossop	F	56.5
Glossop	M	59.6
Glynde	F	38.3
Glynde	M	49
Golden Grove	F	57.7
Golden Grove	M	64.5
Golden Heights	F	47.7
Golden Heights	M	59.5
Gomersal	F	78.9
Gomersal	M	60
Good Hope Landing	F	37.5
Good Hope Landing	M	66.7
Goodwood (SA)	F	58
Goodwood (SA)	M	65.2
Goolwa	F	25.5
Goolwa	M	26.9
Goolwa Beach	F	34.5
Goolwa Beach	M	38.3
Goolwa North	F	36
Goolwa North	M	32
Goolwa South	F	33.8
Goolwa South	M	38
Gosse	F	46.2
Gosse	M	56.3
Gould Creek	F	64.5
Gould Creek	M	64.3
Goyder	F	60
Goyder	M	64.3
Grace Plains	F	65.2
Grace Plains	M	77.8
Grange (SA)	F	48.5
Grange (SA)	M	58.1
Green Fields	F	53.3
Green Fields	M	55
Green Hills Range	F	80.8
Green Hills Range	M	77.8
Green Patch	F	85
Green Patch	M	94.1
Greenacres	F	50.3
Greenacres	M	60.8
Greenhill (SA)	F	71.1
Greenhill (SA)	M	68.3
Greenock	F	62.1
Greenock	M	70.1
Greenways	F	47.4
Greenways	M	65
Greenwith	F	63.7
Greenwith	M	71
Gulfview Heights	F	65.9
Gulfview Heights	M	68.9
Gulnare	F	48.6
Gulnare	M	48.5
Gum Creek	F	60
Gum Creek	M	100
Gumeracha	F	50.3
Gumeracha	M	59.8
Gurra Gurra	F	51.4
Gurra Gurra	M	58.5
Hackham	F	44.3
Hackham	M	52
Hackham West	F	36.2
Hackham West	M	41.3
Hacklins Corner	F	111.1
Hacklins Corner	M	90
Hackney	F	45.5
Hackney	M	40.6
Hahndorf	F	49.4
Hahndorf	M	54.4
Haines	F	71.9
Haines	M	71.9
Halbury	F	56.3
Halbury	M	41
Halidon	M	40
Hallett	F	40.3
Hallett	M	51.4
Hallett Cove	F	60
Hallett Cove	M	66.8
Hamilton (SA)	F	53.1
Hamilton (SA)	M	57.9
Hamley	F	100
Hamley Bridge	F	44.3
Hamley Bridge	M	50.3
Hammond	F	30
Hammond	M	83.3
Hampden (SA)	F	39.1
Hampden (SA)	M	48.1
Hampstead Gardens	F	52.5
Hampstead Gardens	M	64.1
Hansborough	F	58.8
Hansborough	M	82.4
Hanson	F	33.3
Hanson	M	57.1
Happy Valley (SA)	F	56.5
Happy Valley (SA)	M	64
Hardwicke Bay	F	40.3
Hardwicke Bay	M	35.7
Harrogate	F	65.6
Harrogate	M	64
Hart (SA)	F	38.9
Hart (SA)	M	66.7
Hartley (SA)	F	68.3
Hartley (SA)	M	61.2
Haslam	F	63.6
Haslam	M	57.7
Hatherleigh	F	58
Hatherleigh	M	63.5
Hawker (SA)	F	52.2
Hawker (SA)	M	45.7
Hawson	F	64.6
Hawson	M	64.7
Hawthorn (SA)	F	57.3
Hawthorn (SA)	M	64.6
Hawthorndene	F	60.5
Hawthorndene	M	62.7
Hay Flat	F	65.4
Hay Flat	M	59.1
Hay Valley	F	63.6
Hay Valley	M	60
Hayborough	F	41.3
Hayborough	M	48.7
Hazelwood Park	F	53.9
Hazelwood Park	M	66.1
Heathfield	F	52.8
Heathfield	M	64.5
Heathpool	F	41.3
Heathpool	M	61.8
Hectorville	F	49.7
Hectorville	M	58.3
Hendon (SA)	F	45.2
Hendon (SA)	M	52.2
Henley Beach	F	57.5
Henley Beach	M	63.3
Henley Beach South	F	57.7
Henley Beach South	M	63.9
Hewett	F	71.5
Hewett	M	75
Highbury (SA)	F	59
Highbury (SA)	M	64.2
Highgate (SA)	F	58.9
Highgate (SA)	M	64.6
Highland Valley	F	57.9
Highland Valley	M	62.3
Hill River (SA)	F	77.5
Hill River (SA)	M	80.5
Hillbank	F	61.4
Hillbank	M	67
Hillcrest (SA)	F	51.5
Hillcrest (SA)	M	64.6
Hillier	F	23.3
Hillier	M	29.1
Hilltown	F	94.1
Hilltown	M	59.1
Hilton (SA)	F	57.5
Hilton (SA)	M	58.9
Hindmarsh (SA)	F	53.9
Hindmarsh (SA)	M	36.2
Hindmarsh Island	F	39.3
Hindmarsh Island	M	39.7
Hindmarsh Tiers	F	48.8
Hindmarsh Tiers	M	52.6
Hindmarsh Valley	F	55.6
Hindmarsh Valley	M	58.5
Holden Hill	F	50.4
Holden Hill	M	57.2
Holder (SA)	F	53.8
Holder (SA)	M	45.9
Holder Siding	F	50
Holder Siding	M	42.9
Honiton	F	70.6
Honiton	M	80
Hope Forest	F	56.7
Hope Forest	M	55.9
Hope Valley (SA)	F	41.3
Hope Valley (SA)	M	52.7
Hornsdale	F	42.9
Hornsdale	M	105.6
Horsnell Gully	M	100
Hoskin Corner	F	66.7
Hoskin Corner	M	60
Houghton	F	67.5
Houghton	M	69.2
Hove	F	45
Hove	M	55.1
Hoyleton	F	44.4
Hoyleton	M	39
Huddleston	M	30
Humbug Scrub	F	59
Humbug Scrub	M	63.8
Huntfield Heights	F	47.1
Huntfield Heights	M	53.2
Hyde Park (SA)	F	55.4
Hyde Park (SA)	M	66.4
Hynam	F	71.7
Hynam	M	86.7
Ingle Farm	F	44.4
Ingle Farm	M	51.1
Inglewood (SA)	F	58.8
Inglewood (SA)	M	69
Ingomar	F	100
Ingomar	M	84
Inkerman (SA)	F	37.5
Inkerman (SA)	M	18.8
Inkster	M	80
Inman Valley	F	56.1
Inman Valley	M	58.2
Innamincka	F	52.9
Innamincka	M	66.7
Iron Knob	F	16.7
Iron Knob	M	24.3
Ironbank	F	65.3
Ironbank	M	66.5
Ironstone	F	100
Ironstone	M	166.7
Island Beach	F	21.4
Island Beach	M	63.2
