SSC_NAME16	medianTotalFamilyIncome
Sleaford	71500
Smithfield (SA)	52988
Smithfield Plains	46852
Smoky Bay	66612
Snowtown	56160
Solomon	97448
Solomontown	51740
Somerton Park	111280
South Brighton	94640
South Hummocks	94224
South Kilkerran	87724
South Plympton	83356
Southend	102336
Spalding (SA)	56472
Spectacle Lake	
Spence (SA)	110500
Spring Farm (SA)	94224
Spring Gully (SA)	123448
Springfield (SA)	193336
Springton	70096
Square Mile	87724
St Agnes (SA)	87724
St Clair (SA)	95680
St Georges	128856
St Ives (SA)	55224
St Johns	
St Kilda (SA)	46800
St Kitts	90948
St Marys (SA)	75036
St Morris	90012
St Peters (SA)	140088
Stanley (SA)	71500
Stanley Flat	87360
Stansbury	56212
Steelton	97500
Steinfeld	61724
Stephenston	
Stepney	123708
Stewart Range	84500
Stirling (SA)	123708
Stirling North	89908
Stockport	69836
Stockwell	96200
Stockyard Creek (SA)	
Stockyard Plain	
Stokes Bay	49348
Stone Hut	68224
Stone Well	106600
Stonyfell	147316
Stow	
Strathalbyn (SA)	70252
Streaky Bay	69368
Struan	69316
Stuart (SA)	
Stuarts Creek	
Stun'Sail Boom	
Sturt (SA)	71500
Sultana Point	90948
Summertown	111488
Sunlands	56836
Sunnybrae	84500
Sunnydale	55224
Sunnyside (SA)	80132
Sunnyvale	123448
Surrey Downs	87932
Sutherlands	67184
Suttontown	101660
Swan Reach (SA)	56316
Swanport	87724
Swede Flat	116948
Tailem Bend	55952
Taldra	58500
Talia	
Tantanoola	76752
Tanunda	85592
Taperoo	57616
Taplan	71448
Taratap	84500
Tarcoola	
Tarcowie	110500
Tarlee	68224
Tarnma	58500
Tarpeena	57564
Tatachilla	94900
Taunton (SA)	
Taylorville	76336
Tea Tree Gully	88244
Teal Flat	
Telowie	71500
Templers	99112
Tennyson (SA)	125996
Tepko	58448
Teringie	117936
Terowie	40768
The Gap (SA)	62816
The Pines (SA)	37700
The Range (SA)	97500
Thebarton	84812
Thevenard	85384
Thomas Plain	247000
Thompson Beach	50908
Thorngate	162448
Thornlea	110448
Thrington	117000
Tiatukia	99632
Tickera	51220
Tiddy Widdy Beach	45292
Tilley Swamp	58500
Tintinara	72176
Tolderol	103948
Tooligie	55224
Tooperang	67184
Toora (SA)	97448
Toorak Gardens	139464
Tootenilla	116948
Torrens Island	
Torrens Park	126984
Torrens Vale	107692
Torrensville	85072
Tothill Belt	97500
Tothill Creek	
Totness	99632
Towitta	68224
Tranmere (SA)	101920
Trinity Gardens	109616
Trott Park	88348
Truro	74724
Tulka	84448
Tumby Bay	63804
Tungkillo	71500
Tunkalilla	97448
Tusmore	131872
Two Wells	82212
Tyringa	
Ucolta	
Uley	
Uleybury	102648
Ulooloo	
Ulyerra	84500
Undalya	110448
Underdale	84292
Ungarra	62088
Unley	121628
Unley Park	178048
Uno	
Upper Hermitage	82836
Upper Sturt	109252
Uraidla	107068
Urania	87724
Urrbrae	123188
Uworra	
Vale Park	99684
Valley View	72228
Veitch	
Venus Bay (SA)	58500
Verdun	109200
Verran	86632
Victor Harbor	54184
Vine Vale	109200
Virginia (SA)	79924
Vista	86632
Vivonne Bay	67184
Waddikee	110448
Waikerie	60268
Waitpinga	75348
Walker Flat	54132
Walkerville (SA)	120328
Walkley Heights	95368
Wall Flat	84500
Wallala	
Wallaroo (SA)	51740
Wallaroo Mines	52572
Wallaroo Plain	116948
Wallerberdina	
Walloway	
Waltowa	69316
Wami Kata	
Wanbi	68224
Wandana (SA)	71500
Wandearah East	101816
Wandearah West	
Wandilo	81224
Wangary	62348
Wangolina	71448
Wanilla	92248
Wappilka	44200
Warburto	71500
Ward Belt	74724
Ward Hill	68224
Warnertown	55900
Warnes	
Warooka	61984
Warradale	89128
Warramboo	84500
Warraweena	58500
Washpool (SA)	50024
Wasleys	80444
Watarru	
Watchman	110500
Waterfall Gully	160316
Waterloo (SA)	55224
Waterloo Corner	45240
Watervale	81224
Watraba	
Wattle Flat (SA)	74360
Wattle Park	113412
Wattle Range	110448
Wattle Range East	97500
Wauraltee	81224
Wayville	120172
Webb Beach	37700
Wedge Island (SA)	
Weeroona Island	61048
Weetulta	87724
Welland	80028
Wellington (SA)	60632
Wellington East	62816
Wepar	68224
West Beach (SA)	99216
West Bundaleer	
West Croydon	83824
West Hindmarsh	82992
West Lakes	86060
West Lakes Shore	95940
West Range	55224
West Richmond	75972
Westall	68224
Westbourne Park	118248
Western Flat	62348
Western River	38948
Wharminda	92248
White Hill	73112
White Hut	71500
White Sands	84500
White Well Corner	
Whites Flat	71448
Whites River	84448
Whites Valley	76336
Whitwarta	58448
Whyalla	99112
Whyalla Barson	
Whyalla Jenkins	99216
Whyalla Norrie	62712
Whyalla Playford	93340
Whyalla Stuart	53820
Whyte Yarcowie	61724
Wigley Flat	68224
Wilcherry	
Wild Dog Valley (SA)	71500
Wild Horse Plains	54600
Wilgena	
Willalo	69836
Willalooka	72280
Willamulka	63648
Willaston	72228
William Creek	
Williamstown (SA)	88660
Willippa	117000
Willochra	
Willoughby (SA)	
Willow Creek	112632
Willowie	117000
Willson River	
Willunga	86996
Willunga Hill	102336
Willunga South	102076
Willyaroo	85020
Wilmington	62608
Windsor (SA)	61724
Windsor Gardens	77532
Wingfield	50336
Winkie	86112
Winninowie	
Winulta	61724
Wirrabara	56316
Wirraminna	
Wirrega	94224
Wirrina Cove	47528
Wirrulla	62816
Wisanger	49348
Wistow	100724
Witera	
Wokurna	99632
Wolseley	49712
Wombats Rest	
Wongulla	40560
Wongyarra	60632
Wonna	
Wonuarra	54184
Woodchester	81224
Woodcroft (SA)	87932
Woodforde	126880
Woodlane	75816
Woodleigh (SA)	70200
Woods Point (SA)	70668
Woodside (SA)	78416
Woodville (SA)	80548
Woodville Gardens	51740
Woodville North	64324
Woodville Park	86320
Woodville South	85696
Woodville West	86684
Wool Bay	39624
Woolpunda	
Woolshed Flat (SA)	116948
Woolsheds	84500
Woolumbool	74724
Woolundunga	
Woomera	108316
Worlds End (SA)	
Worrolong	102648
Wrattonbully	69316
Wudinna	72956
Wunkar	61724
Wye	69836
Wynarka	67132
Wynn Vale	94848
Wyomi	46800
Yacka	74724
Yahl	91312
Yalanda	84448
Yalata	43316
Yallunda Flat	81224
Yalpara	
Yamba (SA)	
Yanerbie	
Yaninee	117000
Yankalilla	59072
Yantanabie	123448
Yanyarrie	
Yardea	
Yarrah	
Yatala Vale	91832
Yatina	58500
Yattalunga (SA)	114192
Yeelanna	109200
Yellabinna	
Yelta (SA)	
Yinkanie	71500
Yongala	45032
Yorke Valley	77948
Yorketown	60840
Younghusband	53040
Younghusband Holdings	
Yumali	44200
Yumbarra	
Yundi	80184
Yunta	71500
Zadows Landing	90948
No usual address (SA)	
Migratory - Offshore - Shipping (SA)	
Abba River	82316
Abbey	89960
Acton Park (WA)	95836
Adamsvale	181948
Ajana	68224
Albany	87256
Aldersyde	97448
Alexander Heights	88608
Alexandra Bridge	
Alfred Cove	132184
Alkimos	108888
Allanooka	74724
Allanson	104884
Alma (WA)	68224
Ambania	
Ambergate	108940
Amelup	143000
Angelo River	
Anketell	101816
Anniebrook	84448
Antonymyre	
Applecross	143728
Ardath	58500
Ardross	124280
Argyle (WA)	99112
Armadale (WA)	60008
Arrino	46748
Arrowsmith	110448
Arrowsmith East	142948
Arthur River (WA)	73112
Ascot (WA)	115492
Ashby (WA)	98176
Ashendon	
Ashfield (WA)	85748
Attadale	142532
Atwell	119808
Aubin Grove	118612
Augusta	56836
Australind	95680
Aveley	109408
Avon Valley National Park	
Baandee	84500
Babakin	71500
Babbage Island	116948
Badgebup	84500
Badgerin Rock	94224
Badgin	
Badgingarra	107692
Badjaling	116948
Bailup	116948
Bakers Hill	78520
Balbarrup	81224
Balcatta	87776
Baldivis	107536
Balga	65728
Balingup	60892
Balkuling	37700
Balla Balla	
Balladong	63648
Balladonia	
Ballajura	88452
Ballaying	71448
Ballidu	55224
Bally Bally	67132
Bambun	71500
Bandy Creek	111592
Bandya	35724
Banjup	116636
Banksia Grove	94744
Banksiadale	
Bannister (WA)	136448
Barbalin	169000
Barberton	110500
Barrabup	71448
Barragup	102804
Barrow Island	
Baskerville	125632
Bassendean (WA)	106340
Bateman	119236
Baudin	
Baynton (WA)	167232
Bayonet Head	77428
Bayswater (WA)	114816
Beachlands	75556
Beacon	97500
Beaconsfield (WA)	103532
Beadell	
Beaufort River	97500
Beaumont (WA)	116948
Beckenham	75452
Bedford	109044
Bedfordale	119236
Beechboro	78052
Beechina	95836
Beedelup	68224
Beela	116948
Beelerup	50648
Beeliar	113984
Beenong	90948
Beermullah	106184
Bejoording	92300
Beldon	101400
Belhus	97500
Bellevue (WA)	74256
Belmont (WA)	93652
Bencubbin	62192
Benger	69316
Benjaberring	100724
Benjinup	87724
Bennett Springs	91208
Bentley (WA)	63648
Beresford	93236
Berkshire Valley	75816
Bernier Island	
Bertram	95368
Beverley (WA)	59176
Bibra Lake	105768
Bickley	121004
Bicton	124488
Biddelia	
Big Grove	75244
Bilbarin	84500
Bilingurr	122356
Bimbijy	
Bindi Bindi	107224
Bindoon	66196
Bindoon Training Area	
Binduli	
Binningup	90584
Binnu	69836
Birchmont	81224
Bluff Point	89076
Blythewood	108316
Boallia	142948
Bobalong	68224
Bodallin	74724
Boddington	113360
Boilup	74724
Bokal	61724
Bolgart	84500
Bonnie Rock	82836
Bonniefield	74048
Boodarie	164112
Boodarockin	
Bookara	71500
Boonanarring	110448
Boorabbin	
Booragoon	119652
Booralaming	110448
Boorara	
Boorara Brook	50648
Bootenal	64948
Boothendarra	73632
Boranup	
Borden	84448
Borderdale	74724
Bornholm	63336
Boscabel	110500
Boulder	107276
Boundain	63336
Bouvard	60632
Bovell	112632
Bow Bridge	73632
Bowelling	71500
Bowes	87724
Bowgada	143000
Boxwood Hill	93184
Boya	113412
Boyanup	87048
Boyatup	
Boyerine	71500
Boyup Brook	64012
Brabham	105196
Bramley	55224
Brazier	71448
Breera	84500
Bremer Bay	65728
Brentwood (WA)	101088
Breton Bay	
Bridgetown	63336
Brigadoon	124124
Bringo	49348
Broadwater (WA)	74152
Broadwood	174044
Brockman	94796
Broke (WA)	
Brookdale (WA)	69524
Brookhampton	107900
Brookton	72748
Broome	98592
Broomehill East	133224
Broomehill Village	65936
Broomehill West	99632
Brown Hill (WA)	
Brown Range	69316
Bruce Rock	85748
Brunswick (WA)	70668
Buckingham (WA)	195000
Buckland (WA)	74724
Bulgarra	137644
Bull Creek (WA)	107224
Bullabulling	
Bullaring	101816
Buller	111800
Bullfinch	44200
Bullock Hills	
Bullsbrook	95004
Bulong	
Bulyee	117000
Bunbury (WA)	108368
Bundanoon (WA)	97448
Buniche	195000
Bunjil	112632
Buntine	74724
Burakin	84448
Buraminya	
Burekup	97812
Burges	
Burlong	55224
Burma Road	
Burns Beach	157768
Burnside (WA)	93600
Burracoppin	71500
Burran Rock	
Burrup	
Burswood	118144
Busselton	62192
Butler (WA)	92612
Byford	100412
Cable Beach	114920
Cadoux	60112
Caiguna	
Calingiri	71500
Calista	61984
Caljie	46748
Callcup	58448
Camballin	35828
Cambridge Gulf	
Camillo	70408
Cancanning	84500
Cane	
Canna	71500
Canning Mills	71448
Canning Vale	110916
Cannington	71760
Cape Arid	
Cape Burney	101816
Cape Le Grand	
Cape Range National Park	
Capel	76856
Capel River	97500
Capricorn	
Caraban	46748
Carabooda	114088
Carani	71500
Carbla	
Carbunup River	58500
Cardiff (WA)	61724
Cardup	122252
Carey Park	66872
Carine	127712
Carlisle	90844
Carlotta	46800
Carmel	108316
Carnamah	90116
Carnarvon	51324
Carrabin	
Carramar (WA)	117052
Carrolup	106600
Cartmeticup	87724
Cascade (WA)	95316
Castletown	91104
Casuarina (WA)	110240
Cataby	143000
Catterick	81224
Caversham	110916
Centennial Park (WA)	68432
Cervantes	61724
Chadwick	94224
Champion Lakes	97136
Chandler (WA)	
Changerup	67132
Channybearup	76648
Chapman Hill	63648
Charley Creek	117000
Cherry Tree Pool	97500
Cheynes	71500
Chichester (WA)	
Chidlow	97240
Chittering	99944
Chowerup	84500
Churchlands	133848
City Beach	191100
Clackline	55692
Claremont (WA)	146692
Clarkson	91624
Cleary	
Cleaverville	
Clifton (WA)	
Cloverdale	77428
Coblinine	71500
Coburn	
Cockburn Central	84500
Cocklebiddy	
Codjatotine	60632
Cold Harbour	68224
Collanilling	84500
College Grove	92196
Collie (WA)	74048
Collie Burn	97500
Collingwood Heights	73372
Collingwood Park (WA)	71500
Collins	60632
Commodine	71448
Como (WA)	115700
Condingup	72904
Connolly	127764
Contine	110500
Coodanup	53404
Coogee (WA)	114868
Cookernup	84500
Cooladar Hill	
Coolbellup	78156
Coolbinia	186524
Coolcalalaya	
Coolgardie (WA)	76960
Cooljarloo	
Cooloongup	67028
Coolup	87724
Coomalbidgup	107692
Coomberdale	108316
Coonabidgee	71500
Coondle	72956
Coorow	76336
Cooya Pooya	
Copley (WA)	84448
Coral Bay	84500
Corinthia	
Corrigin	77480
Cosmo Newbery	44148
Cossack (WA)	
Cottesloe	190424
Courtenay	74724
Cowalellup	86632
Cowalla	117000
Cowaramup	93236
Cowcowing	90948
Coyrecup	110448
Craigie (WA)	94848
Cramphorne	100724
Cranbrook (WA)	59748
Crawley	85748
Crooked Brook	102648
Crossman	91936
Crowea	97448
Cuballing	76336
Cubbine	225316
Cue	49348
Culham	117000
Cullacabardee	
Cullalla	40248
Cundeelee	
Cunderdin	88920
Cundinup	84500
Cunjardine	142948
Currambine	116376
Cuthbert	76336
Daadenning Creek	71448
Daggar Hills	
Daglish	127088
Dale	97500
Daliak	81224
Dalkeith	216476
Dalwallinu	101348
Dalyellup	105664
Dalyup	76648
Dampier	182364
Dampier Archipelago	
Dampier Peninsula	40716
Dandanning	110448
Dandaragan	91780
Dangin	59748
Darch	113256
Dardadine	97448
Dardanup	89492
Dardanup West	105508
Darkan	70980
Darling Downs	109304
Darlington (WA)	116688
Darradup	68224
Dartmoor (WA)	
Dartnall	110448
Datatine	74724
Davenport (WA)	123448
Dawesville	83304
Dayton	102388
De Grey	85748
Deanmill	78624
Deepdale	115908
Deepdene (WA)	68224
Denbarker	75816
Denham	65832
Denmark	61464
Derby (WA)	95108
Devils Creek	142948
Dewars Pool	67184
Diamond Tree	90948
Dianella	97656
Dindiloa	38948
Dingup	117000
Dinninup	71500
Dirk Hartog Island	
Dixvale	100724
Djugun	130780
Dongara	67444
Dongolocking	71500
Donnelly River	
Donnybrook (WA)	70980
Doodenanning	58448
Doodlakine	103948
Dorre Island	
Doubleview	131352
Dowerin	74152
Drome	69316
Drummond Cove	108784
Dryandra	
Drysdale River	
Dudawa	143000
Dudinin	68224
Dudley Park (WA)	71136
Dukin	71500
Dulbelling	84500
Dulyalbin	168948
Dumbarton	94900
Dumberning	84500
Dumbleyung	59124
Duncraig	124228
Dundas (WA)	
Dunn Rock	
Dunsborough	96616
Durack (WA)	62816
Duranillin	46800
Durawah	
Dwarda	123448
Dwellingup	83876
Eagle Bay	97500
East Augusta	58500
East Ballidu	82316
East Beverley	123448
East Bowes	84448
East Bunbury	71396
East Cannington	81900
East Carnarvon	94640
East Chapman	73632
East Damboring	
East Fremantle	144560
East Lyons River	
East Munglinup	86632
East Murchison	
East Nabawa	
East Nannup	84500
East Newdegate	117000
East Perth	119652
East Pingelly	92612
East Popanyinning	84448
East Rockingham	40716
East Victoria Park	109564
East Wickepin	61724
East Yuna	73632
Eastbrook	93132
Eaton (WA)	84032
Eden Hill	85852
Edgewater	108680
Eganu	143000
Eglinton (WA)	111436
Eighty Mile Beach	54132
Elabbin	
Elachbutting	81848
Elgin (WA)	84500
Elleker	86216
Ellenbrook	94900
Ellendale (WA)	
Embleton	92456
Emu Flat (WA)	
Emu Point	66248
Eneabba	40560
Ennuin	
Eradu	117000
Eradu South	64948
Erskine (WA)	59696
Esperance	76232
Etmilyn	
Eucla	138632
Eurardy	
Ewlyamartup	39988
Exmouth	106184
Exmouth Gulf	103948
Fairbridge	74724
Falcon	68068
Ferguson (WA)	110500
Ferndale (WA)	89024
Fimiston	
Finucane	
Fitzgerald (WA)	
Fitzgerald River National Park	
Fitzroy Crossing	43992
Flint	
Floreat	186420
Flynn (WA)	
Forest Grove (WA)	80600
Forest Hill (WA)	68224
Forrest (WA)	
Forrest Beach (WA)	37700
Forrestania	
Forrestdale	90220
Forrestfield	89128
Fortescue (WA)	24232
Frankland River	75452
Fraser Range	
Fremantle	117104
Furnissdale	52728
Gabalong	
Gabbadah	69160
Gabbin	81224
Gairdner	81224
Gap Ridge	134316
Garden Island (WA)	
Gascoyne Junction	35724
Gascoyne River	32760
Geegully Creek	
Gelorup	115076
Geographe	73684
Georgina (WA)	97500
Geraldton	76284
Ghooli	
Gibb	42848
Gibson	85280
Gibson Desert North	34580
Gibson Desert South	
Gidgegannup	112840
Gilgering	75816
Gillimanning	168948
Gillingarra	123448
Gilroyd	
Gingerah	
Gingin	77376
Ginginup	100724
Girrawheen	62816
Gledhow	79352
Glen Forrest	107328
Glen Iris (WA)	84864
Glen Mervyn	112632
Glencoe (WA)	110500
Glendalough	73164
Glenfield (WA)	93756
Glenlynn	108316
Glenoran	68224
Glentromie	97500
Gnangara	108056
Gnarabup	115908
Gnoorea	
Gnowangerup	75816
Gnowellen	90948
Golden Bay	99320
Goode Beach	84500
Goodlands	61724
Goomalling	64480
Goomarin	
Gooseberry Hill	116584
Gorge Rock	162448
Gorrie	
Gosnells	71292
Gracetown	108004
Granville (WA)	97448
Grass Patch	100724
Grass Valley	71500
Green Head	49348
Green Range	84448
Green Valley (WA)	84500
Greenbushes	61152
Greenfields	59852
Greenhills	87724
Greenmount (WA)	97292
Greenough	69836
Greenwood (WA)	99996
Greenwoods Valley	
Gregory (WA)	61724
Grey	
Greys Plain	34112
Grimwade	
Guilderton	58500
Guildford (WA)	122304
Gundaring	
Gunyidi	117000
Gutha	68224
Gwambygine	61724
Gwelup	138528
Gwindinup	108316
Hacketts Gully	84448
Halls Creek (WA)	47164
Halls Head	93600
Hamel	95836
Hamelin Bay	50232
Hamelin Pool	
Hamersley	98332
Hamersley Range	
Hamilton Hill	79040
Hammond Park	120744
Hannans	145340
Harris River	107224
Harrisdale	115596
Harrismith	116948
Harvey	81796
Hastings (WA)	169000
Hatter Hill	
Hay (WA)	91832
Haynes	94900
Hazelmere	81068
Hazelvale	68224
Heathridge	95472
Helena Valley	111332
Henderson	
Henley Brook	111124
Henty (WA)	112632
Herdsman	
Herne Hill (WA)	90480
Herron	72384
Hester	62816
Hester Brook	76648
Higginsville	
High Wycombe	95212
Highbury (WA)	93860
Highgate (WA)	119392
Hilbert	96564
Hill River (WA)	94224
Hillarys	133276
Hillman	71604
Hillside (WA)	81224
Hilton (WA)	95524
Hindmarsh (WA)	155948
Hines Hill	84500
Hithergreen	84500
Hocking	110812
Hoddys Well	99112
Hoffman	71500
Holleton	
Holmwood	117000
Holt Rock	90948
Holyoake	143000
Hope Valley (WA)	97500
Hopeland (WA)	98748
Hopetoun (WA)	78884
Horrocks	79248
Houtman Abrolhos	
Hovea	118768
Howatharra	84500
Howick (WA)	93132
Hulongine	125632
Huntingdale (WA)	92248
Hyden	80600
Ikewa	103948
Iluka (WA)	151112
Indee	
Inggarda	
Inglehope	71500
Inglewood (WA)	128440
Inkpen	55224
Innaloo	113204
Innawanga	
Irishtown (WA)	73632
Irwin	67184
Israelite Bay	
Isseka	74724
Jackitup	71500
Jacup	86112
Jalbarragup	53092
Jaloran	97500
Jandabup	91676
Jandakot	118664
Jane Brook	112632
Jardee	80600
Jarrahdale	100204
Jarrahwood	37648
Jelcobine	84500
Jennacubbine	84500
Jennapullin	58500
Jerdacuttup	46800
Jerramungup	96668
Jibberding	71448
Jilakin	84448
Jindalee (WA)	124800
Jindong	97500
Jingalup	100048
Jitarning	101816
Jolimont	101816
Joondalup	99320
Joondanna	112060
Julimar	80184
Juna Downs	
Jurien Bay	71084
Kadathinni	58448
Kalamunda	102544
Kalannie	79612
Kalbarri	68224
Kalbarri National Park	
Kalgan	85072
Kalgoorlie	117676
Kalgup	90948
Kallaroo	116376
Kaloorup	123448
Kalumburu	40560
Kambalda East	110708
Kambalda West	118716
Kangaroo Gully	71968
Kanowna	
Karakin	51376
Karalundi	68224
Karawara	84136
Kardinya	103012
Karijini	103948
Karlgarin	97500
Karlkurla	173316
Karloning	108316
Karloo	62816
Karnup	101816
Karragullen	108940
Karrakatta	
Karrakup	106132
Karramindie	
Karranadgin	93184
Karratha	
Karratha Industrial Estate	100724
Karridale	72280
Karrinyup	128076
Karroun Hill	
Katanning	71656
Katrine	64948
Kauring	60632
Kealy	95732
Kebaringup	100724
Kellerberrin	61464
Kelmscott	77064
Kendenup	61360
Kenmare (WA)	87724
Kennedy Range	
Kensington (WA)	150176
Kentdale	50232
Kenwick	76648
Keralup	
Kewdale	83512
Keysbrook	74412
Kiara	90272
Kimbolton (WA)	
King Leopold Ranges	71500
King River	85124
Kings Park (WA)	168948
Kingsford (WA)	94536
Kingsley	113776
Kingston (WA)	84500
Kinross	112008
Kirk Rock	
Kirup	68224
Kojaneerup South	71500
Kojarena	58500
Kojonup	77012
Kokeby	84448
Kondinin	76648
Kondut	94224
Konnongorring	108316
Koojan	162448
Kookynie	37700
Koolanooka	58448
Koolyanobbing	
Koomberkine	84500
Koondoola	56004
Koongamia	72748
Koorda	48516
Korbel	81224
Kordabup	51064
Korrelocking	117000
Kronkup	102648
Kudardup	50908
Kuender	77948
Kukerin	58448
Kulikup	71500
Kulin	74256
Kulin West	100048
Kulja	84500
Kumarina	
Kunjin	136448
Kununoppin	58500
Kununurra	112112
Kurnalpi	
Kurrenkutten	142948
Kweda	
Kwelkan	
Kwinana Beach	
Kwinana Town Centre	59384
Kwolyin	50232
Lagrange	37492
Lake Argyle	40560
Lake Austin	
Lake Biddy	97500
Lake Brown	84500
Lake Camm	110448
Lake Carnegie	
Lake Clifton	77324
Lake Darlot	
Lake Deborah	
Lake Grace	107692
Lake Hinds	117000
Lake Jasper	
Lake King	121316
Lake Margarette	37700
Lake Muir	79248
Lake Ninan	97448
Lake Toolbrunup	84500
Lake Wells	
Lakelands (WA)	89648
Lamington (WA)	138840
Lancelin	64688
Landsdale	114192
Lange	63856
Langford	68536
Latham (WA)	68224
Lathlain	113308
Laverton (WA)	51064
Learmonth (WA)	
Leda	75712
Ledge Point	53300
Leederville	145288
Leeman	53924
Leeming	122928
Leeuwin	
Leinster	123084
Lennard Brook	75192
Leonora	81692
Leschenault	107224
Lesley	
Lesmurdie	108472
Lexia	58448
Lime Lake	58448
Linfarne	56836
Little Grove	90116
Little Italy	116948
Little Sandy Desert	
Lockier	84448
Lockridge	64116
Lockyer (WA)	56004
Lol Gray	
Londonderry (WA)	
Lort River	247000
Lowden	61048
Lower Chittering	113308
Lower Hotham	90948
Lower King	85436
Lowlands	66248
Ludlow	67184
Lumeah (WA)	100724
Lyalls Mill	168948
Lyndon	81224
Lynwood (WA)	76076
Macleod (WA)	46800
Maddington	70824
Madeley	111644
Madora Bay	116688
Madura	
Magenta (WA)	
Magitup	143000
Mahogany Creek	111852
Mahomets Flats	89648
Maida Vale	103116
Maitland (WA)	
Malabaine	116948
Malaga	
Malebelling	97500
Mallee Hill	103948
Malmalling	
Malyalling	84448
Mandogalup	94224
Mandurah	56836
Manjimup	71552
Manmanning	97500
Manning	122876
Manypeaks	71500
Marangaroo	79768
Maranup	82316
Marbelup	98904
Marble Bar	60320
Marchagee	108316
Mardella	113256
Mardie	
Margaret River (WA)	82160
Mariginiup	112892
Marmion	140660
Marne	
Marracoonda	73632
Marradong	162500
Marrah	
Marrinup	
Martin	102960
Marvel Loch	97500
Marybrook	72540
Massey Bay	
Maya	129948
Mayanup	84500
Maylands (WA)	106860
McAlinden	81224
McBeath	116948
McKail	87932
Meadow	
Meadow Springs	90012
Meckering	68536
Meda	71500
Medina	59540
Meekatharra	75504
Meeking	
Meelon	97500
Meenaar	55224
Meerup	46800
Melaleuca	
Melville (WA)	121108
Menora	129636
Menzies (WA)	60112
Merilup	84448
Merivale	117000
Merkanooka	101816
Merredin	87880
Merriwa (WA)	68328
Meru	97448
Metricup	77116
Mettler	61724
Miamoon	
Middle Swan	76284
Middlesex (WA)	89648
Middleton Beach	95160
Midland	69368
Midvale	61152
Miling	105612
Millars Well	147316
Millbridge	107640
Millbrook (WA)	92248
Millendon	98540
Mills Lake	143000
Millstream (WA)	
Milo	
Milpara	75348
Mimegarra	
Mindarabin	84500
Mindarie (WA)	125424
Mindarra	84500
Minding	97500
Mingenew	63336
Minigin	99632
Minilya	
Minnenooka	108316
Minnivale	71500
Minyirr	86112
Mira Mar	94640
Mirrabooka (WA)	61984
Mitchell Plateau	
Mobrup	58500
Mocardy	84500
Mogumber	71500
Mokine	66612
Mokup	58500
Mollerin	143000
Molloy Island	60632
Monjebup	136500
Monjingup	86112
Moodiarrup	58500
Moojebing	84500
Mooliabeenee	58500
Moondah	58500
Moondyne	46800
Moonies Hill	97500
Moonyoonooka	94692
Moora (WA)	86476
Moore River National Park	
Mooriary	
Moorine Rock	80132
Morangup	84500
Morawa	72280
Morbinning	116948
Mordalup	61724
Moresby (WA)	106652
Morgantown	77376
Morley	81536
Mornington (WA)	71500
Mosman Park (WA)	150124
Moulyinning	81224
Mount Adams	85748
Mount Anketell	
Mount Barker (WA)	65208
Mount Budd	
Mount Burges	37700
Mount Caroline	
Mount Claremont	171184
Mount Clarence	93340
Mount Elphinstone	58500
Mount Erin	
Mount Hampton	75816
Mount Hardey	96200
Mount Hardman	56992
Mount Hawthorn	149448
Mount Helena	102804
Mount Hill	49348
Mount Holland	
Mount Horner	75816
Mount Jackson	
Mount Lawley	132860
Mount Lindesay (WA)	
Mount Madden	58500
Mount Magnet	72748
Mount Melville	83876
Mount Nasura	92092
Mount Ney	
Mount Observation (WA)	
Mount Palmer	
Mount Pleasant (WA)	140244
Mount Richon	82940
Mount Romance	
Mount Sheila	
Mount Sheridan (WA)	58500
Mount Stirling	71500
Mount Tarcoola	95628
Mount Walker (WA)	94224
Mount Wells	
Mouroubra	
Muchea	96824
Muckenburra	92300
Mueller Ranges	37700
Muja	
Mukinbudin	78728
Mulataga	
Mulga Downs	
Mullaloo	118508
Mullalyup	39884
Mullewa	65624
Mullingar	120952
Muluckine	61724
Mumballup	86632
Mumberkine	95316
Mundabullangana	
Mundaring	95836
Mundijong	83096
Mundrabilla	
Mungalup	143000
Munglinup	105872
Munster	111852
Muntadgin	123448
Muradup	68692
Murchison (WA)	101816
Murdoch	89388
Murdong	143000
Muresk	
Myalup	81224
Myara	
Myaree	111384
Myrup	91728
Nabawa	68224
Nairibin	58448
Nalkain	
Nalyerlup	207948
Namban	46748
Nambeelup	105872
Nambung	24648
Nanarup	88816
Nanga	
Nanga Brook	
Nangeenan	84500
Nangetty	
Nannup	63596
Nanson	71500
Nanutarra	117000
Napier	76336
Naraling	123448
Narembeen	84500
Narngulu	58448
Narra Tarra	110500
Narraloggan	97448
Narrikup	75088
Narrogin	77220
Narrogin Valley	108316
Naturaliste	97500
Naval Base	79248
Neale	
Nedlands	171808
Needilup	117000
Neendaling	97448
Neerabup	95836
Neergabby	83408
Nembudding	
Neridup	100724
Nerramyne	
Nerren Nerren	
New Norcia	74724
Newcarlbeon	129948
Newdegate	89856
Newlands (WA)	73112
Newman	145912
Ngaanyatjarra-Giles	36504
Nickol	175552
Nilgen	50232
Nillup	84500
Ningaloo	
Nippering	61724
Nirimba	50232
Noggerup	100724
Nokaning	134316
Nolba	97500
Nollamara	82420
Nomans Lake	94224
Noranda	93392
Nornalup	74724
Norpa	97500
Norseman	59280
North Baandee	110448
North Bannister	
North Beach (WA)	121732
North Bodallin	68224
North Boyanup	101192
North Burngup	
North Cascade	
